MODELE,ACCURACY,PRECISION,RECALL,F1_SCORE,ROC_AUC
Forêt aléatoire,0.8621495327102804,0.5833333333333334,0.6712328767123288,0.6242038216560509,0.8997491800115762
Régression logistique,0.6822429906542056,0.3333333333333333,0.863013698630137,0.48091603053435117,0.8031641906231911
