COMPAGNIE_ID,NOMBRE_PAIEMENTS,DELAI_MOYEN_JOURS,DELAI_MEDIAN_JOURS,TAUX_RETARD_60J_PCT,COMMISSION_FCFA
COMPAGNIE_05,47,90.06382978723404,74.0,55.319148936170215,63138300
COMPAGNIE_04,145,54.55172413793103,39.0,24.82758620689655,8018300
COMPAGNIE_02,344,35.223837209302324,28.0,16.86046511627907,18299600
COMPAGNIE_01,447,35.15659955257271,28.0,8.724832214765101,12634300
COMPAGNIE_03,426,41.62206572769953,27.5,23.004694835680752,57520500
COMPAGNIE_07,52,29.826923076923077,26.5,19.230769230769234,16795000
COMPAGNIE_06,151,38.29139072847682,26.0,16.55629139072848,2294600
COMPAGNIE_09,66,18.939393939393938,18.5,0.0,17852100
COMPAGNIE_08,11,10.454545454545455,0.0,9.090909090909092,2037800
COMPAGNIE_10,3,0.0,0.0,0.0,6900
COMPAGNIE_11,4,3.5,0.0,0.0,1039900
COMPAGNIE_12,13,0.0,0.0,0.0,320000
