CLUSTER,NOMBRE_CLIENTS,RECENCE_MOYENNE,FREQUENCE_MOYENNE,PRIME_MOYENNE,COMMISSION_MOYENNE,SEGMENT_CLIENT
0,272,714.8676470588235,1.3602941176470589,231794.11764705883,35244.85294117647,OCCASIONNELS
1,316,230.3512658227848,1.5063291139240507,202118.98734177215,25876.898734177215,FIDÈLES
2,265,161.35471698113207,6.332075471698113,6768231.320754717,781184.1509433963,STRATÉGIQUES
3,14,739.0,1.0714285714285714,-14157.142857142857,-1500.0,À RÉACTIVER
